Shelf,  Tag,    RFID
0,      0,      E2801170000002076A50957C
0,      1,      E2801170000002076A508C7E
0,      2,      E2801170000002076A509570
0,      3,      E2801170000002076A50957A
1,      1,      E2801170000002076A508C7D
1,      3,      E2801170000002076A50957B
1,      2,      E2801170000002076A50957D
2,      0,      E2801170000002076A508D78
2,      2,      E2801170000002076A509C7C
2,      3,      E2801170000002076A509478
2,      4,      E2801170000002076A509477
2,      5,      E2801170000002076A509476
