Tag,RSSI_dBm,Antenna,Time_ms
0,70,1,221000
E2801170000002076A50957B,70,1,2330944
E2801170000002076A508D76,77,4,2331737
E2801170000002076A508C74,74,4,2331777
E2801170000002076A508D76,77,4,2331778
E2801170000002076A508D76,68,4,2331808
E2801170000002076A508D76,66,4,2331844
E2801170000002076A508C74,73,4,2331880
E2801170000002076A508D76,72,4,2331903
E2801170000002076A508C74,73,4,2331904
E2801170000002076A508D76,77,1,2332047
E2801170000002076A508C74,77,1,2332114
E2801170000002076A508D76,77,1,2332115
E2801170000002076A508C74,77,1,2332116
E2801170000002076A508D76,74,1,2332117
E2801170000002076A508C74,70,1,2332117
E2801170000002076A508D76,65,1,2332132
E2801170000002076A508D76,65,1,2332150
E2801170000002076A508D76,64,1,2332186
E2801170000002076A508D76,73,1,2332222
E2801170000002076A508D76,65,4,2333127
E2801170000002076A508D78,67,4,2333195
E2801170000002076A508D78,77,1,2333248
E2801170000002076A508D76,72,1,2333266
E2801170000002076A508D78,77,1,2333289
E2801170000002076A508D76,71,1,2333290
E2801170000002076A508D76,71,1,2333307
E2801170000002076A508D78,72,1,2333308
E2801170000002076A508D76,67,1,2333320
E2801170000002076A508D78,72,1,2333361
E2801170000002076A508D78,64,4,2334202
E2801170000002076A508D76,62,4,2334274
E2801170000002076A508D76,63,4,2334275
E2801170000002076A508C74,62,4,2334276
E2801170000002076A508C74,61,4,2334277
E2801170000002076A50957D,64,4,2334277
E2801170000002076A508D76,64,4,2334278
E2801170000002076A508C74,63,4,2334297
E2801170000002076A508D76,69,4,2334298
E2801170000002076A508D78,68,4,2334302
E2801170000002076A50957D,64,3,2335282
E2801170000002076A508C74,73,4,2335413
E2801170000002076A508D78,66,4,2335414
E2801170000002076A508C74,72,4,2335428
E2801170000002076A50957B,66,4,2335449
E2801170000002076A50957D,71,4,2335450
E2801170000002076A508D78,72,4,2335454
E2801170000002076A508D78,61,4,2335462
E2801170000002076A50957B,58,4,2335486
E2801170000002076A508D78,60,4,2335487
E2801170000002076A50957B,63,3,2336421
E2801170000002076A508C7D,65,3,2336494
E2801170000002076A509570,62,3,2336495
E2801170000002076A50957B,62,3,2336496
E2801170000002076A508C7D,62,3,2336497
E2801170000002076A50957B,61,3,2336497
E2801170000002076A508C7D,62,3,2336498
E2801170000002076A50957B,77,4,2336637
E2801170000002076A508C7D,74,4,2336638
E2801170000002076A509570,73,4,2336650
E2801170000002076A50957A,71,3,2337555
E2801170000002076A509570,68,3,2337624
E2801170000002076A509570,67,3,2337625
E2801170000002076A508C7E,64,3,2337626
E2801170000002076A50957A,65,3,2337627
E2801170000002076A509570,64,3,2337627
E2801170000002076A508C7E,62,3,2337628
E2801170000002076A50957C,64,3,2337629
E2801170000002076A509570,62,3,2337640
E2801170000002076A508C7E,60,3,2337658
E2801170000002076A508C7E,62,2,2338630
E2801170000002076A50957C,71,3,2338774
E2801170000002076A508C7E,67,3,2338797
E2801170000002076A50957C,68,3,2338798
