Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A50957B,77,3,2662599
E2801170000002076A508D76,77,3,2662600
E2801170000002076A50957B,74,3,2662612
E2801170000002076A50957B,63,3,2662648
E2801170000002076A50957B,66,3,2662685
E2801170000002076A50957B,65,3,2662725
E2801170000002076A508D76,65,3,2662726
E2801170000002076A508D76,74,3,2662757
E2801170000002076A508C74,77,4,2662905
E2801170000002076A508D76,74,4,2662906
E2801170000002076A508D76,71,2,2663602
E2801170000002076A508C74,67,2,2663676
E2801170000002076A508D76,67,2,2663677
E2801170000002076A508D76,67,2,2663678
E2801170000002076A508C74,66,2,2663679
E2801170000002076A508C74,69,2,2663679
E2801170000002076A508D76,64,2,2663680
E2801170000002076A508C74,74,3,2663805
E2801170000002076A508D76,65,3,2663806
E2801170000002076A508D76,65,3,2663818
E2801170000002076A508C74,68,2,2664718
E2801170000002076A508C74,65,2,2664786
E2801170000002076A508D78,64,2,2664787
E2801170000002076A508D76,62,2,2664788
E2801170000002076A50957D,65,2,2664795
E2801170000002076A508C74,64,2,2664796
E2801170000002076A508C74,62,2,2664808
E2801170000002076A508D76,65,2,2664826
E2801170000002076A508C74,64,2,2664849
E2801170000002076A508D78,65,2,2664850
E2801170000002076A50957D,62,1,2665803
E2801170000002076A50957B,67,1,2665876
E2801170000002076A508C74,68,1,2665877
E2801170000002076A50957D,64,1,2665878
E2801170000002076A508C7D,67,1,2665879
E2801170000002076A508D78,64,1,2665879
E2801170000002076A508D78,68,2,2665965
E2801170000002076A50957D,63,2,2665966
E2801170000002076A508D78,69,2,2665978
E2801170000002076A50957D,65,2,2665996
E2801170000002076A50957D,77,1,2666883
E2801170000002076A50957B,71,1,2666956
E2801170000002076A508C7D,67,1,2666957
E2801170000002076A50957B,69,1,2666958
E2801170000002076A508C7D,65,1,2666959
E2801170000002076A50957B,68,1,2666959
E2801170000002076A508C7D,67,1,2666960
E2801170000002076A50957A,70,1,2666961
E2801170000002076A50957B,67,1,2666962
E2801170000002076A50957A,67,1,2666970
E2801170000002076A508C7D,65,4,2667958
E2801170000002076A508C7E,69,1,2668089
E2801170000002076A508C7D,77,1,2668090
E2801170000002076A50957C,72,1,2668102
E2801170000002076A50957C,77,1,2668125
E2801170000002076A509570,69,1,2668126
E2801170000002076A508C7E,69,1,2668130
E2801170000002076A50957C,74,1,2668143
E2801170000002076A509570,65,1,2668144
E2801170000002076A509570,66,1,2668156
E2801170000002076A509570,59,4,2669092
E2801170000002076A508C7E,62,4,2669166
E2801170000002076A509570,62,4,2669167
E2801170000002076A50957C,65,4,2669168
E2801170000002076A508C7E,63,4,2669169
E2801170000002076A509570,63,4,2669169
E2801170000002076A509570,72,1,2669313
E2801170000002076A508C7E,73,1,2669314
E2801170000002076A50957C,72,1,2669326
E2801170000002076A508C7E,72,1,2669345
E2801170000002076A508C7E,74,4,2670226
E2801170000002076A50957C,70,4,2670296
E2801170000002076A50957C,68,4,2670297
E2801170000002076A508C7E,66,4,2670298
E2801170000002076A508C7E,62,4,2670339
E2801170000002076A50957C,66,4,2670340
E2801170000002076A508C7E,77,1,2670537
E2801170000002076A50957C,74,1,2670538
E2801170000002076A50957C,77,1,2670550
E2801170000002076A50957C,63,1,2670587
E2801170000002076A50957C,67,3,2671324
E2801170000002076A50957C,72,4,2671450
E2801170000002076A508C7E,73,4,2671473
E2801170000002076A50957C,71,4,2671474
E2801170000002076A50957C,68,4,2671504
E2801170000002076A508C7E,69,4,2671522
E2801170000002076A508C7E,67,4,2671540
E2801170000002076A50957C,64,4,2671576
E2801170000002076A50957C,77,1,2671761
E2801170000002076A508C7E,74,1,2671762
E2801170000002076A508C7E,69,3,2672481
E2801170000002076A50957C,67,3,2672548
E2801170000002076A508C7E,71,3,2672549
E2801170000002076A50957C,77,4,2672661
E2801170000002076A508C7E,77,4,2672662
E2801170000002076A508C7E,73,4,2672674
E2801170000002076A508C7E,72,4,2672715
E2801170000002076A50957C,72,4,2672716
E2801170000002076A50957C,69,4,2672728
E2801170000002076A50957C,67,4,2672746
E2801170000002076A508C7E,77,3,2673558
E2801170000002076A50957C,74,3,2673626
E2801170000002076A50957C,77,3,2673627
E2801170000002076A50957C,74,3,2673628
E2801170000002076A50957C,63,3,2673629
E2801170000002076A50957C,64,3,2673664
E2801170000002076A50957C,65,3,2673687
E2801170000002076A508C7E,67,3,2673688
E2801170000002076A50957C,67,3,2673705
E2801170000002076A508C7E,67,3,2673706
E2801170000002076A50957C,64,2,2674636
E2801170000002076A50957C,63,2,2674706
E2801170000002076A50957C,77,3,2674803
E2801170000002076A508C7E,77,3,2674804
E2801170000002076A508C7E,72,3,2674816
E2801170000002076A50957C,72,3,2674852
E2801170000002076A508C7E,71,3,2674875
E2801170000002076A50957C,69,3,2674876
E2801170000002076A508C7E,68,3,2674890
E2801170000002076A50957C,65,3,2674929
E2801170000002076A508C7E,77,2,2675721
E2801170000002076A50957C,77,2,2675788
E2801170000002076A50957C,72,2,2675789
E2801170000002076A508C7E,68,2,2675790
E2801170000002076A50957C,70,2,2675791
E2801170000002076A508C7E,64,2,2675824
E2801170000002076A50957C,67,2,2675883
E2801170000002076A508C7E,67,2,2675884
E2801170000002076A508C7E,72,3,2676005
E2801170000002076A508C7E,67,3,2676045
E2801170000002076A509477,69,2,2678328
E2801170000002076A509477,77,3,2678488
